frame_index,timestamp_seconds,label,dataset_name,group_id,source_video,backend,ear_left,ear_right,ear_avg,mar,pitch,yaw,roll
0,0.0,1,auto,01,10.MOV,mediapipe_tasks,0.24306415325287978,0.24668572199694502,0.24487493762491241,0.0036323956059124613,-166.1813852252362,-19.394068112425913,-5.012082832401384
5,0.16683970905869733,1,auto,01,10.MOV,mediapipe_tasks,0.2584258177574225,0.2514843314769952,0.2549550746172089,0.0026907374321226713,-167.19700588829184,-17.838962745596515,-4.720640182561682
10,0.33367941811739465,1,auto,01,10.MOV,mediapipe_tasks,0.22753732649406713,0.2489488652472234,0.23824309587064527,0.00362194332845983,-169.77868138671366,-9.650475522720257,-3.2429637435735073
15,0.5005191271760919,1,auto,01,10.MOV,mediapipe_tasks,0.2603003163392391,0.26110842656537686,0.26070437145230796,0.006272490551616332,-172.8750644274798,-9.38097271168432,-3.791590511121662
20,0.6673588362347893,1,auto,01,10.MOV,mediapipe_tasks,0.263663750259458,0.28128948160750605,0.27247661593348205,0.008883050005017493,-173.93387644943195,-13.496538756833182,-4.373985542667904
25,0.8341985452934866,1,auto,01,10.MOV,mediapipe_tasks,0.25962966070614557,0.28296407238571897,0.27129686654593227,0.010210338103514864,-175.9208553236647,-15.621037575576844,-3.516565058383348
30,1.0010382543521839,1,auto,01,10.MOV,mediapipe_tasks,0.2253268301589363,0.25003380655496943,0.23768031835695286,0.00860730995781462,-178.51476234794671,-14.904944595862299,-3.9960923690776955
35,1.1678779634108813,1,auto,01,10.MOV,mediapipe_tasks,0.231384488746276,0.2560729721759386,0.24372873046110732,0.006873030639107656,-179.87783211265133,-13.118472276108582,-3.3945678179778063
40,1.3347176724695786,1,auto,01,10.MOV,mediapipe_tasks,0.2244640581826165,0.23652419644049788,0.2304941273115572,0.006215640659199247,177.5644771807677,-14.127988819487248,-3.4506234721895868
45,1.501557381528276,1,auto,01,10.MOV,mediapipe_tasks,0.20502724840166478,0.22259603550364332,0.21381164195265406,0.00515703209968056,176.5848906982639,-16.499926084768063,-2.1226764432982637
50,1.6683970905869732,1,auto,01,10.MOV,mediapipe_tasks,0.24734545501633107,0.27095250220476336,0.2591489786105472,0.007949543969717499,-179.0913854736235,-16.34633641263987,-4.437273636680484
55,1.8352367996456707,1,auto,01,10.MOV,mediapipe_tasks,0.24796446247967127,0.2694408015545571,0.2587026320171142,0.004898220207515094,-177.03685392625545,-21.560295540180263,-4.883327728998922
60,2.0020765087043677,1,auto,01,10.MOV,mediapipe_tasks,0.23108061789859566,0.24041270383975086,0.23574666086917326,0.008850835125667063,-175.0410354125318,-16.41114274072588,-4.960382063090561
65,2.168916217763065,1,auto,01,10.MOV,mediapipe_tasks,0.24228147715183432,0.2577254001288398,0.2500034386403371,0.004478403002346499,-173.9521104800763,-19.988709722147874,-4.653400958619663
70,2.3357559268217627,1,auto,01,10.MOV,mediapipe_tasks,0.08875154694037911,0.07830903515929458,0.08353029104983684,0.0033282564710906287,-171.63714864856794,-19.07897213306938,-3.950397417109528
75,2.5025956358804597,1,auto,01,10.MOV,mediapipe_tasks,0.23520769832951202,0.23649190005970067,0.23584979919460636,0.004522165013371518,-168.43208117122398,-23.31983355169469,-4.476676423222862
80,2.6694353449391572,1,auto,01,10.MOV,mediapipe_tasks,0.25209378673149657,0.2578827910856281,0.25498828890856234,0.003035306956027416,-168.40263581019806,-20.184320929088692,-4.116247335457204
85,2.8362750539978543,1,auto,01,10.MOV,mediapipe_tasks,0.2548250765612659,0.2708030822940042,0.262814079427635,0.001659829323121862,-169.3611596667503,-17.620513859221237,-3.002781804000414
90,3.003114763056552,1,auto,01,10.MOV,mediapipe_tasks,0.2595730198144909,0.2592331597620432,0.25940308978826704,0.004207327611656341,-168.97158328146222,-20.3488794779141,-3.4984777963618208
95,3.1699544721152493,1,auto,01,10.MOV,mediapipe_tasks,0.2578743718447943,0.268239827076788,0.26305709946079114,0.003757354739007983,-170.35467738770996,-20.073066161831377,-3.4875257444279075
100,3.3367941811739463,1,auto,01,10.MOV,mediapipe_tasks,0.30643249418382335,0.33932854504898985,0.3228805196164066,0.008182153966075368,-171.17062560585092,-18.507367871213237,-3.00510893100369
105,3.503633890232644,1,auto,01,10.MOV,mediapipe_tasks,0.2952714838129776,0.30934195504094236,0.30230671942695997,0.005008534490487405,-172.83330555131568,-17.759367220638026,-2.9501471987025507
110,3.6704735992913413,1,auto,01,10.MOV,mediapipe_tasks,0.28792349112158233,0.31537160834633865,0.30164754973396046,0.005939688216300095,-173.66230554136442,-15.511478382437032,-3.093069599229253
115,3.8373133083500384,1,auto,01,10.MOV,mediapipe_tasks,0.21831453286519853,0.2440049509938156,0.23115974192950706,0.004695401035474618,-173.73294782487258,-17.85602568046881,-3.014825838894061
120,4.004153017408735,1,auto,01,10.MOV,mediapipe_tasks,0.246032986748999,0.255471194906532,0.2507520908277655,0.0068462611298448035,-174.83727943501694,-15.550477339538805,-2.6895993688622655
125,4.170992726467433,1,auto,01,10.MOV,mediapipe_tasks,0.2484886695270309,0.2592203783639904,0.25385452394551067,0.005111056137565063,-173.84838664101733,-17.704083021399132,-2.5147190595142574
